YakeKeyWords
"['houthis', 'biden', 'war', 'yemen', 'saudi', 'gaza', 'conflict', 'israel', 'administration', 'attack']"
"['duckett', 'day', 'india', 'run', 'england', 'back', 'slip', 'root', 'playing', 'team']"
"['hampshire', 'primary', 'election', 'win', 'democratic', 'biden', 'bidens', 'general', 'trump', 'campaign']"
"['american', 'people', 'wealth', 'average', 'republican', 'biden', 'economy', 'working', 'pay', 'big']"
"['brain', 'age', 'people', 'healthy', 'older', 'decline', 'memory', 'good', 'biden', 'matter']"
"['bath', 'smith', 'game', 'cokanasiga', 'app', 'world', 'cup', 'lineout', 'guardian', 'point']"
"['call', 'judge', 'swatting', 'incident', 'trump', 'fire', 'number', 'threat', 'emergency', 'white']"
"['trump', 'colbert', 'meyers', 'biden', 'doctor', 'elvis', 'weird', 'guy', 'joked', 'fuck']"
"['drama', 'bbc', 'lycett', 'boarder', 'breathtaking', 'joe', 'sewage', 'pandemic', 'graham', 'sheen']"
"['swift', 'fan', 'album', 'alwyn', 'tortured', 'promo', 'dickinson', 'revealed', 'department', 'taylor']"
"['southgate', 'england', 'injury', 'squad', 'midfield', 'city', 'hope', 'phillips', 'chance', 'liverpool']"
"['dog', 'guard', 'live', 'pointer', 'biden', 'biting', 'noem', 'friend', 'secret', 'service']"
"['bst', 'biden', 'johnson', 'day', 'trump', 'republican', 'greene', 'holocaust', 'house', 'press']"
"['biden', 'bidens', 'state', 'union', 'address', 'alabama', 'trump', 'court', 'house', 'britt']"
"['vote', 'state', 'uncommitted', 'party', 'michigan', 'movement', 'biden', 'time', 'campaign', 'oliver']"
"['ireland', 'france', 'night', 'place', 'cup', 'year', 'world', 'nation', 'irish', 'poor']"
"['israel', 'biden', 'netanyahu', 'israeli', 'deal', 'rafah', 'gaza', 'hamas', 'bengvir', 'country']"
"['bbc', 'sewage', 'stacey', 'bikers', 'solomon', 'documentary', 'water', 'lancashire', 'potato', 'sort']"
"['vote', 'biden', 'president', 'trump', 'gaza', 'israel', 'policy', 'voter', 'democrat', 'uncommitted']"
"['biden', 'trump', 'voter', 'bidens', 'issue', 'republican', 'state', 'congress', 'american', 'lead']"
"['biden', 'trump', 'american', 'president', 'republican', 'state', 'congress', 'bidens', 'union', 'vision']"
"['biden', 'china', 'taiwan', 'meeting', 'official', 'chinese', 'told', 'change', 'dictator', 'view']"
"['bargain', 'holiday', 'ryan', 'wilkinson', 'day', 'romantic', 'night', 'show', 'joe', 'spa']"
"['liverpool', 'gomez', 'klopp', 'fan', 'chelsea', 'season', 'cup', 'manager', 'team', 'final']"
"['trump', 'biden', 'state', 'week', 'year', 'president', 'election', 'american', 'republican', 'voter']"
"['biden', 'trump', 'address', 'president', 'republican', 'union', 'state', 'house', 'bidens', 'joe']"
"['palestinian', 'israel', 'resolution', 'state', 'israeli', 'international', 'west', 'occupation', 'territory', 'force']"
"['season', 'game', 'week', 'sunday', 'defense', 'team', 'flacco', 'win', 'jet', 'raven']"
"['manchin', 'trump', 'democratic', 'state', 'donald', 'back', 'bid', 'joe', 'american', 'senator']"
"['russian', 'region', 'ukraine', 'killed', 'ukrainian', 'nato', 'attack', 'thursday', 'russia', 'eastern']"
"['ukrainian', 'russia', 'bomb', 'report', 'system', 'air', 'component', 'umpc', 'defence', 'key']"
"['aid', 'greene', 'ukraine', 'marjorie', 'house', 'military', 'taylor', 'saturday', 'bill', 'idiot']"
"['crime', 'case', 'war', 'country', 'international', 'ukraine', 'court', 'preparing', 'condition', 'justice']"
"['russian', 'ukrainian', 'russia', 'ukraine', 'city', 'official', 'force', 'missile', 'sunday', 'military']"
"['ukraine', 'russian', 'russia', 'defence', 'gmt', 'military', 'force', 'tuesday', 'minister', 'call']"
"['ukraine', 'russia', 'gmt', 'ukrainian', 'russian', 'moscow', 'plane', 'nato', 'updated', 'state']"
"['ukraine', 'russian', 'monday', 'defence', 'region', 'foreign', 'missile', 'russia', 'minister', 'ukrainian']"
"['ukraine', 'gmt', 'russia', 'russian', 'ukrainian', 'defence', 'updated', 'war', 'nato', 'air']"
"['senate', 'aid', 'ukraine', 'bill', 'tuesday', 'package', 'foreign', 'israel', 'funding', 'republican']"
"['ukraine', 'gmt', 'russian', 'ukrainian', 'region', 'russia', 'missile', 'attack', 'city', 'updated']"
"['ukraine', 'support', 'package', 'defence', 'military', 'russia', 'air', 'polish', 'security', 'poland']"
"['republican', 'trump', 'ukraine', 'election', 'president', 'biden', 'bill', 'side', 'rule', 'voting']"
"['alyona', 'heil', 'eurovision', 'jerry', 'ukrainian', 'song', 'semifinal', 'contest', 'malm', 'winning']"
"['stout', 'ukraine', 'russian', 'war', 'train', 'odesa', 'russia', 'ukrainian', 'book', 'brilliant']"
"['ukraine', 'russian', 'ukrainian', 'russia', 'attack', 'missile', 'kharkiv', 'sbu', 'head', 'moscow']"
"['ukraine', 'ukrainian', 'russia', 'country', 'part', 'landsbergis', 'macron', 'air', 'troop', 'defence']"
"['series', 'made', 'time', 'image', 'state', 'generation', 'war', 'soviet', 'ukraine', 'mikhailov']"
"['ukraine', 'russian', 'russia', 'gmt', 'reuters', 'asset', 'putin', 'wednesday', 'report', 'president']"
"['war', 'ukraine', 'eurovision', 'people', 'entrant', 'boycott', 'israel', 'contest', 'artist', 'genocide']"
"['greene', 'johnson', 'ukraine', 'marjorie', 'republican', 'speaker', 'buck', 'point', 'aid', 'idea']"
"['ukraine', 'russia', 'compromise', 'country', 'war', 'europe', 'nato', 'russian', 'lievens', 'anatol']"
"['president', 'milanovi', 'minister', 'hdz', 'croatia', 'government', 'plenkovi', 'country', 'prime', 'corruption']"
"['ukraine', 'russia', 'aid', 'gmt', 'russian', 'war', 'orbn', 'attack', 'hungary', 'ukrainian']"
"['getty', 'photograph', 'interactive', 'image', 'march', 'lviv', 'building', 'location', 'yuriy', 'dyachyshynafp']"
"['ukraine', 'country', 'russian', 'krone', 'tuesday', 'air', 'defence', 'system', 'company', 'ukrainian']"
"['ukraine', 'gmt', 'russia', 'russian', 'drone', 'peace', 'war', 'sunday', 'updated', 'davos']"
"['johnson', 'ukraine', 'house', 'speaker', 'democrat', 'greene', 'trump', 'aid', 'life', 'columbia']"
"['ukraine', 'russian', 'defence', 'attack', 'region', 'air', 'russia', 'kyiv', 'friday', 'facility']"
"['russia', 'ukraine', 'russian', 'bridge', 'ukrainian', 'drone', 'target', 'official', 'hur', 'military']"
"['survivor', 'sexual', 'violence', 'ukraine', 'support', 'reparation', 'conflictrelated', 'ukrainian', 'fund', 'rape']"
"['ukraine', 'russian', 'bst', 'attack', 'ukrainian', 'region', 'russia', 'governor', 'force', 'service']"
"['ukraine', 'russia', 'ukrainian', 'russian', 'wednesday', 'child', 'abroad', 'passport', 'longrange', 'package']"
"['ukraine', 'defence', 'russian', 'russia', 'town', 'minister', 'military', 'tuesday', 'aid', 'ukrainian']"
"['woman', 'lack', 'world', 'film', 'place', 'trio', 'support', 'hanna', 'stuzhytsya', 'melnyks']"
"['ukraine', 'russian', 'gmt', 'ukrainian', 'russia', 'updated', 'border', 'force', 'country', 'kyiv']"
"['russia', 'saturday', 'region', 'defence', 'ukraine', 'facility', 'drone', 'russian', 'missile', 'ukrainian']"
"['ukraine', 'fund', 'defence', 'international', 'air', 'mod', 'government', 'military', 'contract', 'year']"
"['ukraine', 'johnson', 'republican', 'vote', 'foreign', 'speaker', 'aid', 'house', 'taylor', 'greene']"
"['trump', 'senate', 'israel', 'body', 'people', 'gull', 'human', 'ukraine', 'day', 'aid']"
"['attack', 'security', 'putin', 'russian', 'ukraine', 'ukrainian', 'intelligence', 'part', 'friday', 'fsb']"
