YakeKeyWords
"['number', 'immigration', 'level', 'migration', 'sunak', 'worker', 'bring', 'figure', 'people', 'social']"
"['home', 'office', 'centre', 'immigration', 'manston', 'removal', 'detention', 'site', 'plan', 'detained']"
"['backlog', 'asylum', 'legacy', 'case', 'year', 'figure', 'plan', 'sunak', 'home', 'rwanda']"
"['renee', 'mexico', 'home', 'american', 'jym', 'living', 'san', 'life', 'make', 'mary']"
"['sunak', 'rwanda', 'making', 'boat', 'minister', 'prime', 'bill', 'tetchy', 'thing', 'party']"
"['condition', 'court', 'people', 'high', 'visa', 'curfew', 'labor', 'immigration', 'giles', 'bill']"
"['advice', 'oneil', 'legal', 'case', 'operational', 'australia', 'nzyq', 'government', 'minister', 'home']"
"['released', 'court', 'police', 'detention', 'man', 'high', 'charged', 'decision', 'senate', 'arrested']"
"['trump', 'biden', 'rally', 'immigrant', 'vox', 'immigration', 'frontera', 'rnc', 'republican', 'milwaukee']"
"['johnson', 'gmt', 'rwanda', 'government', 'people', 'covid', 'updated', 'minister', 'bill', 'inquiry']"
"['detention', 'court', 'people', 'immigration', 'government', 'case', 'australia', 'indefinite', 'battisson', 'released']"
"['detention', 'australia', 'people', 'immigration', 'released', 'sirul', 'government', 'death', 'murder', 'minister']"
"['henry', 'davy', 'racism', 'producer', 'show', 'people', 'friend', 'made', 'bird', 'generation']"
"['detention', 'people', 'donaghue', 'court', 'country', 'nzyqs', 'detained', 'released', 'government', 'nzyq']"
"['detention', 'home', 'office', 'immigration', 'house', 'centre', 'selfharm', 'brook', 'medical', 'people']"
"['irish', 'britain', 'back', 'community', 'duggan', 'london', 'day', 'people', 'ireland', 'year']"
"['migration', 'migrant', 'people', 'labour', 'country', 'immigration', 'global', 'poverty', 'evidence', 'worker']"
